path,primary_class,secondary_classes,retarget_blockers,notes
"src/opencodehx/BuildInfo.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/Main.hx","node-host","ai-sdk;generated-ts-only;node-api","Node API adapter;genes-ts-only type surface","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/account/AccountError.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/account/AccountStore.hx","node-host","generated-ts-only;js-runtime;node-api;sqlite;unknown-boundary;web-host","Promise/async lowering;Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/acp/AcpAgent.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/agent/AgentRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/auth/AuthStore.hx","node-host","generated-ts-only;node-api;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/bus/BusRuntime.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/bus/BusStreamRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/bus/EventBus.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/cli/Cli.hx","node-host","ai-sdk;generated-ts-only;js-runtime;node-api;unknown-boundary","Promise/async lowering;Node API adapter;genes-ts-only type surface;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/cli/CliSurface.hx","node-host","none","none","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/cli/ErrorFormatter.hx","node-host","generated-ts-only;unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/command/CommandRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigAgent.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigCommand.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigDependencyRuntime.hx","node-host","node-api;unknown-boundary","Node API adapter;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigEntryName.hx","node-host","node-api","Node API adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigError.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigInfo.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigLoader.hx","node-host","generated-ts-only;js-runtime;node-api;unknown-boundary;web-host","Promise/async lowering;Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigLsp.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigManaged.hx","portable","raw-js-boundary;unknown-boundary","raw JS expression;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigMarkdown.hx","node-host","generated-ts-only;node-api;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigMarkdownFiles.hx","node-host","node-api","Node API adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigPlugin.hx","node-host","generated-ts-only;node-api;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigVariable.hx","node-host","node-api;unknown-boundary","Node API adapter;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigWriter.hx","node-host","generated-ts-only;node-api;npm-extern;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/Jsonc.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/controlplane/WorkspaceAdaptors.hx","generated-ts-only","js-runtime;unknown-boundary","Promise/async lowering;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/effect/InstanceStateRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/effect/ObservabilityResource.hx","node-host","node-api;unknown-boundary;web-host","Node API adapter;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/effect/RunServiceRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/effect/RuntimeMemo.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/externs/ai/AiGatewayProvider.hx","npm-extern","ai-sdk;generated-ts-only;js-runtime;unknown-boundary","npm package adapter;genes-ts-only type surface;runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/ai/AiSdk.hx","npm-extern","ai-sdk;generated-ts-only;js-runtime;node-api;unknown-boundary;web-host","Promise/async lowering;npm package adapter;genes-ts-only type surface;runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/aws/AwsCredentialProviders.hx","npm-extern","generated-ts-only;unknown-boundary","npm package adapter;genes-ts-only type surface;runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/better_sqlite3/Database.hx","npm-extern","generated-ts-only;sqlite;unknown-boundary","npm package adapter;genes-ts-only type surface;runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/effect/EffectApi.hx","npm-extern","unknown-boundary","runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/hono/Hono.hx","npm-extern","generated-ts-only;js-runtime;node-api;server-runtime;unknown-boundary","Promise/async lowering;npm package adapter;genes-ts-only type surface;runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/hono/NodeServer.hx","npm-extern","generated-ts-only;js-runtime;server-runtime","npm package adapter;genes-ts-only type surface","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/hono/NodeWs.hx","npm-extern","generated-ts-only;js-runtime;server-runtime;unknown-boundary;web-host","npm package adapter;genes-ts-only type surface;runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/js/EsmModule.hx","npm-extern","raw-js-boundary","raw JS expression","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/jsonc/JsoncParser.hx","npm-extern","unknown-boundary","runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/node/Buffer.hx","node-host","generated-ts-only;js-runtime;raw-js-boundary","Node API adapter;genes-ts-only type surface;raw JS expression","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/ChildProcess.hx","node-host","generated-ts-only;js-runtime;unknown-boundary;web-host","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Console.hx","node-host","raw-js-boundary;unknown-boundary","Promise/async lowering;Node API adapter;raw JS expression;runtime unknown boundary","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Crypto.hx","node-host","none","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Fs.hx","node-host","js-runtime;unknown-boundary","Node API adapter;runtime unknown boundary","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/NodePty.hx","node-host","none","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Os.hx","node-host","none","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Path.hx","node-host","none","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Process.hx","node-host","node-api","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Stream.hx","node-host","node-api;web-host","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/node/Url.hx","node-host","js-runtime","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/externs/opentui/OpenTuiSolid.hx","npm-extern","js-runtime;node-host","Promise/async lowering;npm package adapter","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/toml/Toml.hx","npm-extern","none","none","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/toml/TomlObject.hx","npm-extern","generated-ts-only;unknown-boundary","genes-ts-only type surface;runtime unknown boundary","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/treesitter/WebTreeSitter.hx","npm-extern","generated-ts-only;js-runtime","Promise/async lowering;npm package adapter;genes-ts-only type surface","TypeScript/npm extern declaration; retarget by swapping package integration or preserving it behind a TS adapter."
"src/opencodehx/externs/web/AbortControllerWithReason.hx","web-host","js-runtime;raw-js-boundary","raw JS expression","Web platform extern seam; Rust/Go need native HTTP/stream/WebSocket adapters or generated bindings."
"src/opencodehx/externs/web/Fetch.hx","web-host","js-runtime","Promise/async lowering","Web platform extern seam; Rust/Go need native HTTP/stream/WebSocket adapters or generated bindings."
"src/opencodehx/externs/web/GlobalFetch.hx","web-host","generated-ts-only;js-runtime;unknown-boundary","Promise/async lowering;genes-ts-only type surface;runtime unknown boundary","Web platform extern seam; Rust/Go need native HTTP/stream/WebSocket adapters or generated bindings."
"src/opencodehx/externs/web/UriCodec.hx","web-host","none","none","Web platform extern seam; Rust/Go need native HTTP/stream/WebSocket adapters or generated bindings."
"src/opencodehx/externs/web/WebStreams.hx","web-host","generated-ts-only;js-runtime;raw-js-boundary;unknown-boundary","Promise/async lowering;genes-ts-only type surface;raw JS expression;runtime unknown boundary","Web platform extern seam; Rust/Go need native HTTP/stream/WebSocket adapters or generated bindings."
"src/opencodehx/externs/ws/WebSocket.hx","web-host","generated-ts-only;js-runtime;server-runtime;unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Web platform extern seam; Rust/Go need native HTTP/stream/WebSocket adapters or generated bindings."
"src/opencodehx/file/AppFileSystem.hx","node-host","js-runtime;node-api;raw-js-boundary;unknown-boundary;web-host","Promise/async lowering;Node API adapter;raw JS expression;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/file/FileIgnore.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/file/FileSearchRuntime.hx","node-host","node-api","Node API adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/file/FileSystem.hx","node-host","generated-ts-only;node-api;unknown-boundary","Node API adapter;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/file/FileWatcherRuntime.hx","node-host","node-api;unknown-boundary","Node API adapter;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/file/Ripgrep.hx","node-host","node-api;unknown-boundary","Node API adapter;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/fixtures/DynamicFixture.hx","harness","none","none","Executable parity/test harness; portability target is generated test intent, not product runtime."
"src/opencodehx/format/FormatRuntime.hx","node-host","js-runtime;node-api;unknown-boundary","Promise/async lowering;Node API adapter;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/fx/Task.hx","npm-extern","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/git/Git.hx","node-host","node-api","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/harness/TranscriptHarness.hx","harness","unknown-boundary","runtime unknown boundary","Executable parity/test harness; portability target is generated test intent, not product runtime."
"src/opencodehx/host/Clock.hx","portable","raw-js-boundary","raw JS expression","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/host/node/BetterSqlite.hx","node-host","npm-extern;sqlite;unknown-boundary","Node API adapter;npm package adapter;runtime unknown boundary","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/host/node/GlobalPaths.hx","node-host","node-api","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/host/node/NodeBuffer.hx","node-host","js-runtime","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/host/node/NodePath.hx","node-host","none","Node API adapter","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/host/node/NodeProcess.hx","node-host","js-runtime;node-api;raw-js-boundary;unknown-boundary;web-host","Promise/async lowering;Node API adapter;raw JS expression;runtime unknown boundary","Node-specific host or extern seam; retarget by replacing this adapter behind the existing Haxe-facing API."
"src/opencodehx/installation/InstallationRuntime.hx","node-host","generated-ts-only;unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/interop/JsIdentityKey.hx","generated-ts-only","raw-js-boundary;unknown-boundary","genes-ts-only type surface;raw JS expression;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/lsp/LspClient.hx","node-host","generated-ts-only;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/lsp/LspDiagnostic.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/lsp/LspRuntime.hx","node-host","generated-ts-only;node-api;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/lsp/LspTypes.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/mcp/McpNeedsAuth.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/mcp/McpRuntime.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/npm/Npm.hx","node-host","generated-ts-only;node-api;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/permission/BashArity.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/permission/PermissionRules.hx","node-host","node-api;unknown-boundary","Node API adapter;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/permission/PermissionRuntime.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/permission/PermissionTypes.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/plugin/PluginConfigHooks.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/plugin/PluginMeta.hx","node-host","node-api;raw-js-boundary;unknown-boundary","Node API adapter;raw JS expression;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/plugin/PluginRuntime.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/plugin/PluginServerHooks.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/plugin/PluginShared.hx","node-host","node-api;raw-js-boundary;unknown-boundary","Node API adapter;raw JS expression;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/project/InstanceBootstrapRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/project/InstanceRuntime.hx","node-host","node-api","Node API adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/project/ProjectRuntime.hx","node-host","node-api","Node API adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/project/VcsRuntime.hx","node-host","node-api","Node API adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/AiSdkLanguageLoader.hx","npm-extern","ai-sdk;generated-ts-only;unknown-boundary","npm package adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/AiSdkProvider.hx","npm-extern","ai-sdk;generated-ts-only;js-runtime;unknown-boundary;web-host","Promise/async lowering;npm package adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/BedrockLanguageLoader.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/CloudflareAiGatewayLoader.hx","npm-extern","ai-sdk;generated-ts-only;js-runtime;unknown-boundary","npm package adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/CopilotLanguageLoader.hx","npm-extern","ai-sdk","npm package adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/FakeProvider.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/ProviderError.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/ProviderModelsDev.hx","node-host","generated-ts-only;js-runtime;node-api;unknown-boundary","Promise/async lowering;Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/ProviderOptionAccess.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/ProviderRegistry.hx","node-host","ai-sdk;generated-ts-only;node-api;npm-extern;sqlite;unknown-boundary","Node API adapter;npm package adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/ProviderTransform.hx","portable","ai-sdk;unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/ProviderTypes.hx","generated-ts-only","ai-sdk;unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotAiSdkLanguageModel.hx","npm-extern","ai-sdk;generated-ts-only;js-runtime;unknown-boundary;web-host","Promise/async lowering;npm package adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotAiSdkPrompt.hx","npm-extern","ai-sdk;generated-ts-only;js-runtime;unknown-boundary","npm package adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatCompletion.hx","npm-extern","ai-sdk;generated-ts-only","npm package adapter;genes-ts-only type surface","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatHttpClient.hx","web-host","generated-ts-only;js-runtime","Promise/async lowering;genes-ts-only type surface","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatLanguageModel.hx","portable","ai-sdk;js-runtime","Promise/async lowering","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatMessages.hx","node-host","ai-sdk;generated-ts-only;js-runtime;node-api;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatRequest.hx","generated-ts-only","ai-sdk;unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatResponseDecoder.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatSseDecoder.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatStream.hx","npm-extern","ai-sdk;generated-ts-only;unknown-boundary","npm package adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatStreamAdapter.hx","web-host","js-runtime","Promise/async lowering","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotChatTools.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/provider/copilot/CopilotOpenAICompatibleProvider.hx","generated-ts-only","none","genes-ts-only type surface","Haxe domain/model code; retarget after replacing any listed secondary seams."
